fixed_rank,protected_template,protected_clean,template_clean,unprotected_clean,unprotected_template,rotated_50_protected_template,peak_suppression_db
0,0.26917471647658725,0.11129939321935652,0.5891409852741956,0.10982383873975855,0.2659040316361856,-0.25608937782402125,0.02767577070366426
1,0.2519532744463365,0.2894402930607761,0.5891409852741956,0.20895468833468167,0.1256910307667305,0.23759658226485977,-15.64509351519325
2,0.6255324630448109,0.7002011954433758,0.5891409852741956,0.5002692437800315,0.23885353021275854,0.05255746444955568,-19.555000504739432
3,0.508782694693876,0.599506578361835,0.5891409852741956,0.40035214011309966,0.24145140365809095,-0.07910841182418553,-18.151087469247994
4,0.6301715857273014,0.42100947227399116,0.5891409852741956,0.10176358528938308,0.19684181146641508,0.13790501297048954,-19.03358338982224
5,0.6819486208647445,0.28506710143628855,0.5891409852741956,-0.12548618394664288,0.08013203387768014,0.2710822844046133,-20.685004455459083
6,0.7463114534853921,0.2892699519101419,0.5891409852741956,-0.21984765507667928,-0.0007090061746297069,0.4514535676836508,-20.725029243695815
7,0.7717832823935161,0.27261279394558535,0.5891409852741956,-0.2967275274963282,-0.07810969690330616,0.5765195561570822,-20.972757407486903
8,0.7947065945813426,0.2884940046568925,0.5891409852741956,-0.35662263560821694,-0.16060059722020548,0.6752816893078569,-20.6671881378061
9,0.808334585631382,0.28463818796392415,0.5891409852741956,-0.4133770143617551,-0.2396517922710838,0.754054502365986,-20.575989038098584
10,0.8288910612758772,0.30681700129544875,0.5891409852741956,-0.4589652282691364,-0.3225908345062401,0.8065276185029115,-20.58200099866667
